id,Assigned Dealer Account,zip,route,,,,,,,,,,,,,
290,SX Cincinnati,45067,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
291,SX Cincinnati,45068,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
292,SX Cincinnati,45069,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
293,SX Cincinnati,45101,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
294,SX Cincinnati,45102,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
295,SX Cincinnati,45103,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
296,SX Cincinnati,45106,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
297,SX Cincinnati,45107,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
298,SX Cincinnati,45111,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
299,SX Cincinnati,45112,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
300,SX Cincinnati,45113,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
301,SX Cincinnati,45118,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
302,SX Cincinnati,45120,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
303,SX Cincinnati,45121,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
304,SX Cincinnati,45122,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
305,SX Cincinnati,45123,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
306,SX Cincinnati,45130,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
307,SX Cincinnati,45131,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
308,SX Cincinnati,45132,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
309,SX Cincinnati,45133,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
310,SX Cincinnati,45135,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
